feature,importance
categorical__NAME_EDUCATION_TYPE_Academic degree,1.2562051331514577
categorical__NAME_INCOME_TYPE_Pensioner,1.1159506988660786
categorical__NAME_INCOME_TYPE_Student,1.0480666496795292
numeric__AMT_GOODS_PRICE,0.9678995362849774
categorical__NAME_INCOME_TYPE_Unemployed,0.9334017419142296
categorical__ORGANIZATION_TYPE_Trade: type 5,0.9324425591274388
numeric__AMT_CREDIT,0.9076371445839738
categorical__ORGANIZATION_TYPE_Trade: type 4,0.753260092923053
categorical__ORGANIZATION_TYPE_Realtor,0.7305174600720017
categorical__ORGANIZATION_TYPE_Legal Services,0.6370020642538766
categorical__NAME_INCOME_TYPE_Working,0.5927487953927595
categorical__ORGANIZATION_TYPE_Transport: type 3,0.5659000643992163
categorical__NAME_INCOME_TYPE_Commercial associate,0.5284335932312475
categorical__NAME_INCOME_TYPE_Businessman,0.5269397130798922
categorical__NAME_INCOME_TYPE_State servant,0.5198639612492685
numeric__EXT_SOURCE_3,0.47748960325098994
categorical__ORGANIZATION_TYPE_Military,0.4683824635596963
categorical__NAME_EDUCATION_TYPE_Lower secondary,0.46710197854777885
numeric__FLAG_EMP_PHONE,0.4411264973565236
categorical__ORGANIZATION_TYPE_Industry: type 12,0.43868622853637845
numeric__EXT_SOURCE_2,0.39031553559925336
categorical__ORGANIZATION_TYPE_Trade: type 6,0.36647507990550593
categorical__ORGANIZATION_TYPE_Trade: type 2,0.36584640041964034
categorical__ORGANIZATION_TYPE_XNA,0.3599543516544774
categorical__CODE_GENDER_XNA,0.3598669154746667
categorical__NAME_FAMILY_STATUS_Unknown,0.35693191770864807
categorical__ORGANIZATION_TYPE_Transport: type 1,0.3427679529034261
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,0.3294449996032128
categorical__ORGANIZATION_TYPE_Industry: type 8,0.3257723278538758
categorical__ORGANIZATION_TYPE_Security Ministries,0.32568041141490556
numeric__BASEMENTAREA_MEDI,0.32449115354980873
numeric__BASEMENTAREA_AVG,0.3168964836472398
categorical__OCCUPATION_TYPE_Low-skill Laborers,0.31544515696566056
categorical__ORGANIZATION_TYPE_Construction,0.31262917460916434
categorical__OCCUPATION_TYPE_IT staff,0.30895235215601663
categorical__ORGANIZATION_TYPE_Industry: type 9,0.2933582535196151
categorical__ORGANIZATION_TYPE_Police,0.2824291117591953
categorical__ORGANIZATION_TYPE_Advertising,0.2799055004737291
categorical__FLAG_OWN_CAR_Y,0.274391514041604
numeric__LIVINGAREA_AVG,0.2734901473046408
numeric__LIVINGAPARTMENTS_MEDI,0.25781183042080985
categorical__NAME_HOUSING_TYPE_Office apartment,0.2569214210678431
numeric__YEARS_BUILD_MEDI,0.24026870502354872
categorical__ORGANIZATION_TYPE_Telecom,0.2381025160957338
categorical__ORGANIZATION_TYPE_Hotel,0.23464666108499244
numeric__YEARS_BUILD_AVG,0.22799169318413087
categorical__ORGANIZATION_TYPE_Trade: type 1,0.22620587321370744
numeric__LIVINGAREA_MEDI,0.22479376189529562
categorical__OCCUPATION_TYPE_Accountants,0.22035137963918533
numeric__OBS_30_CNT_SOCIAL_CIRCLE,0.2196532462954138
categorical__CODE_GENDER_M,0.2143620759340441
numeric__OBS_60_CNT_SOCIAL_CIRCLE,0.20720222124336587
categorical__ORGANIZATION_TYPE_Bank,0.2066213543270366
categorical__ORGANIZATION_TYPE_Industry: type 3,0.20426990362435776
